rev_title,author,author_reviews,ratingdate,text,visitdate,likes,rating
"Nice food, excellent wines, adorable staff",lucfr,,"Reviewed December 11, 2012 ","We had lunch at Septime and were welcomed by the handsome staff. The decor and the food were equally handsome. Only minus: on that chilly November day it was almost as cold inside as it was outside. Put the heating up when we come back and you'll get your 5th star from us, Septime!",Date of visit: November 2012,,4
"As good as it gets: Septime, Paris",writeholt,57 reviews,"Reviewed December 5, 2012 ",,Date of visit: November 2012,1  ,5
Charming,yvo28,,"Reviewed November 19, 2012 ",Although there is no menu they ask you for dislikes but you do have to go with the flow. Some people will enjoy that and some not so much. I must say I do like to have some form of choice so it was a bit difficult for me but I was very keen to try anyway. The space is lovely. Quite buzzy but at the same time serene. We had a very charming waiter who was very helpful. I can't put my finger on it but I preferred Vivant which is often compared with it although they are actually very different. This is a bit more grown up. The food was very delicate and lots of wee surprises and nice touches.,Date of visit: September 2012,,4
A light but delicious meal,Egon70,,"Reviewed October 30, 2012 ","I was in Paris for 6 days and had eaten in Jean Francois Piege and Kei before I tried Septime. It's a nice change from the complicated menus which consisted of so many dishes that I'd in those 2 restaurants.

The dinner menu is called menu carte blanche which means you don't know what you'll actually get. But the server will ask you whether you've any food allegy.

My meal comprised of 2 entrees, 2 plats and 1 dessert. The ingredients were very fresh. All the food was light but didn't lack flavour. The service was friendly and efficient. The price was reasonable.

I'll recommend this place.",,,4
A Very Special Place,JayneQ6,,"Reviewed October 25, 2012 ","We had lunch today at Septime. I choose this resto because of the newer bistronomies, it has online reservations. It is a bit of a hike, but an absolutely DELIGHTFUL place. As previous reviewers have mentioned, the room is light and comfortable and neither loud or too crowded. We were pleased to get a corner table at the window and could see the street as well as the interior. The staff is very pleasant and helpful, most spoke good English and tolerated our attempts at French. They explained the menu well, and most importantly, accomodated our Vegetarian as well.
The food was sublime. We all agreed heartily it was one of the best meals we had in Paris and for that matter, ever. In fact, our veggie said it was the best meal she has had EVER.
My companion ordered the boudin (blood sausage) with some trepidation and it was great. The fish and duck mains were also excellent.
At 28E for three courses this place is a steal.",Date of visit: October 2012,1  ,5
best of the best,sapporostan,,"Reviewed October 18, 2012 ","did consecutive nights of october 2 and 3,2012 so can honestly say they change the complete menu and wine list every night.this restaurant is only for those who know food and are not out to be a name-dropper.this is a very special place that will go down as my best meal (s) i have ever eaten in my lifetime.those who find fault,as is allowed in free speech, do not know what special food is all about.there is none better anywhere.",Date of visit: October 2012,,5
Gastronomy without the pretense or price,NicaCasey,36 reviews,"Reviewed October 17, 2012 ","Incredible use of vegetables and fish in the menu the night I had the please of visiting.  The staff are friendly, young, and helpful and the dining room lively without being loud.  Truly a joy on every level with innovative dishes and wines.",Date of visit: October 2012,,5
Loved everything,Berrycocktail,2 reviews,"Reviewed September 15, 2012 ","The food was great, the staff was good, the interior was sophisticated, the customers were decent; and I am very glad we went. The best one we went in Paris.

Make sure you reserve in advance.

Bon appetite!",Date of visit: September 2012,,5
"Cool vibe, good value",markbanshee,,"Reviewed September 15, 2012 ","Nice place, friendly, knowledgeable servers and a reasonable price for a good meal. Clearly there are tons of great places to eat in Paris, but I was very happy we took a night to eat here. Good fresh ingredients and really enjoyed some nice variety of fish. Very yummy pigeon, cooked perfectly and a nice finish to the savory portion of the meal. Similar meals with the same concept could easily go for much more money, glad these guys have kept the prices reasonable. Decent portion sizes and all of them tasty. Check it out, it will not disappoint.",Date of visit: September 2012,,4
Ubercool eatery,TommasoMilano,,"Reviewed September 8, 2012 ","How cool is this place? super NY-vibe, young and friendly waiters, great atmosphere in the room.

Great value for money for lunch, 26€ gets you three well executed dishes, which had the only (irrelevant) problem of being a bit too much ""fashionable"", in a sense in which most paris bistronomiques are.

I want to go back, try 5 dishes for dinner with wine matching, and see if I can add one point.",,,4
the best meal i have had in 2012,Chiki S,22 reviews,"Reviewed August 29, 2012 ",,Date of visit: June 2012,3  ,5
Top Quality Ingredients - Exceptional Value,HawaiiWang,,"Reviewed June 16, 2012 ","THis was our first time dining at Septime. We went for lunch (you must reserve). We selected the prix fix 3 course lunch menu (26 euro). My first corse was a wonderful grilled octopus followed by fish for my entree and to finish with fresh strawberries with homemade elder flower ice cream. The food was exceptional, beautifully presented and of the finest ingredients. We will definitely be back. ",Date of visit: June 2012,,5
